,text
73,"beraz astelehena hego mendebal aize bizia lehenengo zatian ipar mendebalderaembata moduan agian arratsaldean baino laister goiza epel edo beroegi ta gero freskatzera egingo du zaparradaren bat edo beste edo ekaitz puntutxo bat baztertu gabe
t c"
74,puf mundo osue zerun erretatue ixotzen oso ondo ai zeate muxu bat danontzat serotonina pixket poz pixket muak
75,"zelako partidu polita
ezkurdia bikua vs elezkano eskuza
zorionak danel eta arkaitz
bizkaitar eta arabarrok ere bagara zeozer pelotan"
76,ze poz carlos fernandezengatik ia gol hau inflexio puntu bat den berarentzat eta taldearentzat goazen
77,ai esk azkenaldixen nau super pozik ta da super guayyy
78,"es la gente cmo puede estar tan contenta con el reggeton
gure hizkuntzan jendea nola eon daike hain pozik mierda horrekin"
79,zabaletarekin jokatzeak beti errazten ditu gauzak baina elordi argi erakusten ari da gaur ere lehen mailako pilotaria dela poz ederra aitor maila honetan jokatzen ikustea pilota ez da izar handien kontua soilik
80,atzelari polita izango da iztueta
81,asko pozten nau geroz eta egoera gehiago izatea zeinetan euskara hutsean hitz egin ahal dudan bada itxaropena
82,ze orgullosa eztikizo zenbat pozten nitzan zuregatik banakin eun hau alletuko zela pasa zuna pasatu ta gero ona besteikan etzen falta asko matte zittut
83,aspaldixon oso pozik nau
84,irati filma ikusi dut eta asko gustatu zait a ze filma polita ikustera joan ezazue
85,"asteburu nahas
larunbata hodeitsuhodei trinkoago eguerditik aurrera ta euriagoizean baztertu gabelitrotan askorik ezta freskatuko du ze o zer arratsalden
iganden hoberahasieran euri ondaregunez hodeiak ostarteak ta epel
larunbata
igandea"
86,"polita ikusitako irudia
errealzale batena nabarrako ikurragaz sorbaldan erromako olinpikoan
pena emaitza
baina bueno"
87,mirua bezain polita baina anari bezain tristea
88,"atzo donostian zaintzen dituten umeetako baten amak eskerrak eman zizkidan umea euskeraz askoz hobeto moldatzen delako oain
eta egun daramatzat pozik horregatik"
89,eztot ulerketan zatik bizi naizen ai pozik pasaitten xaten dana ta gero
90,mutil batzuek ezin dituzte haur zoroek izkin egin ditzaketen argibide egiazkoak asmatu nire laguna pozik zegoen bere karrerarekin eta osakan hil zen lick it
91,ze polita arraunasentituet nola jutezitzaidan arrankatzen ipurdiko azala
92,"gaur eskubaloi partidu polita dugu zarautzen hurbildu nahi
aiala zarautz zke lagunak
aritzbatalde udal kiroldegia
bertan izango gara
aupa aiala gora zarautz"
93,gustatuko litzaidake zu jakitea zein polita zaren
94,aurreko eraikineko leihotik bi pertsona ikusten dira sukaldean batzuetan gortinek babestuta silueta bihurtzen dira tabernako telebista eta elkarrizketa ulergaitz bat entzuten dira noizean behin auto bat ze polita leihotik begiratzea sukaldeko emakumea ere terrazara atera da
95,asturiera oso polita da
96,uned unibertsitatean psikologia ikastea zaila baina polita
0,jaioberrierosle famatu horren inguruko edozer ikaragarria da baina guzti honen erdigunean baliatu duten esklusibasalmenta eta zirku mediatikoa zeharo higuingarria da kapitalismoaren joko zitalenen adibide argia
1,san mames ikaragarria
2,iphoneko gauzarik onena da eitie stikerrak zeee onaaaa
3,beretzat gogoangarria izango den tantua elordik txapeldun zabaletarekin nahikoa egin dute imazek eta lasok azken honen bertsiorik onena behar zuten
4,plazera da maila honetako talde bati eskatzea jasotzen duzunak beti biderkatzen du jarritakoa ikaragarria gaurkoa ere maila oso altuan apirilean ere zorionak lan talde osoari azken etapen bila
5,iritzi pertsonala da ez inor haserretu please baina zineak konparatuz nik ustet errenteriko niessenek eskeintzen duena prezioz onena dela oaingoz bazkide bazara euro astez ta asteburuan ta jai egunetan euro sade zinekoek asteburutan adibidez
6,egun berezia eskerrikasko ausarta izateagatik gaixosun arraroa nuela eta ez nintzela urtetara helduko esan zizutenean nigan sinistearren hainbeste maite eta zaindu nauzulako zorionak ama amarik onena zara maite zaitut
7,"ogia erostera igande goizean bi gaupasero etxera bueltan aurrez aurre eztabaidan datoz
oskorri euskal herriak eman duen hirugarren talderik onena da lisabo eta negu gorriaken atzetik
horretan behintzat ados gaude
desadostasuna non zegoen jakin gabe geratu naiz"
8,gaur inoiz izan dudan lanik onena berhartzen dut gaur berriz postaria naiz
9,"iigo martinez gure atzelaririk onena izanda berritze proposamenik jaso ez duela pentsatzea nahiko inuxentea izatea da ezta
izan daiteke athleticek eginiko eskaintza espero zuena baino baxuagoa izatea izan daiteke ere athleticek epe bat jarri eta eskaintza baztertu izana"
10,ordu honetan telebistan dagoen programarik onena argianorena da eta ez zait kozinatzea gustatzen
11,etsi egin behar adixkide txarretan onena aukeratu eta segi
12,herrian bertan cortadetia selloanak aurtzen ditut udaletxearen kudeaketa ikaragarria iruditzen zait
13,dutxa azpian sortzen dira bertsorik onena y no lo pienso diskutir
14,aupa xabi tolosa ikaragarrizko txapelketa egin duzu ea laster ikusten zaitugun kantxetan berriro eta aupa jokin onena izateaz gain kide bezala sekulakoa zara beti altunazale
15,"binakako txapelketako finala erabakita elordizabaletalasoimaz
pena ikaragarria tolosa lesionatu izana egiten ari zen partida eta txapelketa guztiagatik kirolak alde ilunak ditu eta hau horietako bat animo xabi eta ea final on bat ikusten dugun"
16,ikaragarria elordiren negar malkoak
17,pena xabi tolosaren lesioa txapelketako partidarik onena jokatzen ari zenean eta finaletik tantora lesionatu erabaki zentzuzkoena hartu dute gainera jokinek ezingo zuen een aurka bakarrik
18,kirolaren injustiziak tolosak etzuen horrelakorik merezi partiduko onena
19,xabi tolosa txapelketako partidarik onena jokatzen
20,"primoz roglic jauna
bizikleta gainean eta jaitsita
onena"
21,itzela antzoki a
22,busean ume batzuei euskaraz mintzatzen entzuteak ilusio itzela egin dit beitu zein erraza den ni piztea
23,egualdi ona marrubixak jamoia siestia gaur bai lutxin egunik onena
24,ale ba ikusi dut haulout eta homologatuta nago ya ondo dago baina ez zait ikaragarria iruditu
25,beti sentitu izandet enaizela ona ia ezertan ez ta hau dela eta eztet ioize izan hobby dei nezaket ezer egia da igeriketa gitarra ta musika ikasketak izugarri gustuko nituela baon enintzan bereziki ona hauetan askotan derrigortuta itenitun ne onena eman nahi izan gabe
26,txakurra aurikularrekin paseatzearen alde onena da beste txakurren jabeen komentarioak soinu badaz entzutea
27,ani onena da
28,"urte bitarte badituzu eta txio hau irakurtzen ari bazara bi galdera hauek zuretzat
zein da ikusi dituzun azken telesailen artean gehien gustatu zaizuna
zein da oro har zure telesail faboritoa inoiz ikusi duzun onena
erantzunak
eskerrik asko"
29,"txikitan poesia ikusten nuen edozeren atzean
urratsez urrats mundu erraldoi bat biluzten ari zitzaidan aurrean
jakinmina zaharraren aurrean emozioa berriaren aurrean
gauzarik niminoena ere liluratzen ninduen
orduan munduaren edertasuna aurkitzea erraza zitzaidan"
30,"errendimendu alebina finalaurrekoan dago
lau talde lehiatuko dira kategoria honetan gipuzkoako onena izateko aupa beasain"
31,azken bolada honetan izan dudan asterik onena zalantzarik gabe
32,bizitza ederra egiten duena ez da perfekzioa une zoriontsu txikiak baizik
33,taldeak pauso bat eman du aurrera eta hori nabaria da zelaiean heldutasun gorenera iristen futbolaren irakasgai gehienetara iritsi nahiean ikaragarria talde garaipena bidea urratzen jarraitzen dugu
34,kaixoo bazkide edo gazte abonoren bat kopako itzulerako partidura ezin bada joan nirekin kontaktuan jar dadila urtebetetzeko oparirik onena egingo zenidakete
35,euskerazko kanta onena
36,"atzo azkenean as bestas ikusi genuen ikaragarria iruditu zitzaidan
gero escameladako birbiloba honek sarean bilatu zituen amaren aitaitaren paisaiak eta etxeak zer ikusiko zuten umetan haren begiek"
37,ostiralerako planik onena cenar con naroa
38,ikaragarria etxeperen kontzertua zuzenean soinu itzela dute
39,munduko onena da
40,harri salda ikusi berkozue aurkezlerik onena ikusteko
41,gizon batek gutxieneko pentsinoaren igoera aldarrikatzen dauan manifestaziuaren propagandako papertxoak lurretik botaten onena zu
42,ze gogo barrakak ailatzeko herrira eske munduko sentsaziyo onena da
43,batzutan gogorra da erabaki bat hartzea baina onena dela dakizu etorkizunean zure buruari eskertuko diozula badakizu
44,haalandek gol daramatza partidatan ikaragarria
45,confirmamos gutun bat munduko oparik onena dala nere ustez sinduda
46,partida bati munduko izenbururik onena jarri diot bai horixe baina oraindik ezin dut hitzik esan
47,oso gutxi hitzeitea eva soriano hasta que punto dan onena eske la amo
48,zemat gustatze zaten andra konbertsaixuk eukitzie kajako andrakin nundaon ogi onena esaten ta aste ona opatzen eske muak
49,egunon asteburko onena frantziarren paliza inglaterraren kontra
50,everything everywhere all at once ondo dau baina nik eta nere lagunak filorako ein genun kortua pelikula nihilista onena izaten jarraitzen dau barkau
51,zorterik onena eta ahalik eta gehien disfrutatzera gaur malagan korrika egiten duzuen guztiei
52,ekipoko juerga onena
53,lurraldekoa maila gure bigarren taldearen garaipen itzela basaurin sailkapenaren bigarren postura igotzeko san miguel uritarra
54,atsaldeko lautan bazkaltzen elikin tortilla onena jan ta politikaz eztakit zenbat orduz hitzeiten eon ta geo faltan botatzenun hault
55,zuentzat gure eskerrik onena
56,nire bizitzaren kontzerturik onena
57,kapitulo onena duda barik osa
58,kalimotxua munduko bigarren inbento onena
59,astronomo irueko alkateak onenaostiya korrektorea
60,espazio hau erabiltzeko beharra sentitu det beyoncen drunk in love munduko kantarik onena dela adierazteko
61,ikaragarria
62,tira egin ezazu ahalik eta onena
63,mugimendu feministaren freskotasuna iniziatiba eraginkortasuna ikagarria da ikaragarria
64,"gaurkoan ikusi dugunaren laburpena
jonasek pogi zuen begi miran
pogik etapa eta lasterketa irabaztea
hori ziklista on eta ziklista handi baten arteko aldea teorian tourra bitarte ez dira elkar lehiatuko kolpe psikologikoaren pisua itzela izateko bidean"
65,costellocostello ikaragarria baskonia a ze txapela hommes
66,onena izan behar nintzela esaten zidaten baina inorrek ez zidan galdetzen ea ala izan nahi nuen
67,izan da nere astelehenik onena in dotzat belarritakuak asierreri
68,gaur bilboko mutil batzuk harrapatu ditut euskaraz hitz egin diedanean bere harridura eta esker oneko aurpegia izan zen eguneko gauzarik onena
